countyFIPS,County Name,State,StateFIPS,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31
37177,County 37177,State,37,844,844,844,844,844,844,844,844,844,870,870,876,876,876,876,892,892,899,899,899,928,933,933,933,933,946,970,970,970,970,970,999,999,1018,1018,1018,1035,1035,1035,1076,1076,1076,1076,1076,1076,1076,1076,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1121,1121,1121,1121,1121,1121,1137,1137,1137,1137,1162,1208,1208,1208,1208,1235,1235,1235,1235,1235,1272,1272,1272,1272,1272,1273,1273,1273,1273,1273,1273,1293,1293,1293,1339,1348,1348,1348,1348,1348,1348,1348,1348,1348,1393,1422,1422,1449,1449,1449,1449,1449,1459,1459,1489,1489,1489,1489,1489,1489,1489,1536,1536,1543,1543,1543,1543,1571,1571,1594,1611,1638,1638,1638,1642,1644,1644,1671,1671,1671,1671,1721,1721,1721,1721,1721,1721,1721,1721,1721,1741,1741,1790,1805,1805,1805,1805,1839,1845,1846,1848,1848,1875,1901,1901,1901,1901,1914,1914,1914,1914,1914,1957,1957,1986,1986,1986,1986,2033,2033,2033,2033,2033,2033,2049,2053,2053,2053,2053,2053,2080,2080,2102,2102,2145,2145,2145,2161,2161,2183,2183,2183,2228,2250,2252,2257,2257,2282,2282,2318,2318,2318,2330,2330,2330,2359,2359,2359,2359,2388,2388,2388,2388,2388,2388,2388,2388,2393,2393,2393,2393,2410,2433,2433,2433,2433,2478,2506,2506,2513,2513,2513,2513,2516,2516,2533,2568,2608,2640,2640,2655,2655,2655,2670,2670,2670,2670,2703,2704,2704,2704,2713,2713,2713,2761,2787,2787,2787,2787,2787,2787,2787,2787,2817,2849,2895,2911,2918,2918,2957,2965,2978,2978,2978,2981,2990,2990,2990,2990,3038
2070,County 02070,State,2,404,434,457,457,457,457,457,470,470,486,527,527,527,571,571,571,571,571,571,610,610,610,610,610,610,610,610,645,645,645,645,645,645,661,672,672,707,707,723,741,741,741,741,741,770,770,770,770,770,809,825,825,825,825,826,826,840,888,888,909,945,945,945,945,945,991,1000,1000,1004,1004,1004,1009,1031,1031,1031,1031,1031,1031,1043,1043,1043,1064,1064,1064,1064,1101,1101,1101,1101,1135,1135,1135,1161,1161,1191,1191,1191,1220,1220,1220,1261,1261,1261,1261,1291,1291,1291,1291,1291,1291,1309,1309,1321,1321,1321,1321,1321,1358,1358,1361,1361,1361,1361,1361,1361,1363,1363,1363,1363,1376,1416,1416,1416,1416,1428,1428,1455,1465,1465,1485,1487,1487,1487,1487,1487,1487,1487,1494,1494,1520,1520,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1547,1554,1554,1554,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567,1600,1614,1614,1614,1614,1614,1614,1614,1621,1670,1670,1715,1715,1715,1715,1750,1774,1814,1849,1849,1895,1895,1895,1895,1923,1936,1936,1936,1936,1936,1937,1957,1991,1991,1991,1991,1991,1991,1991,2024,2024,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2109,2109,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2153,2169,2169,2169,2187,2214,2228,2228,2247,2247,2247,2262,2262,2262,2262,2266,2266,2289,2289,2289,2289,2302,2302,2305,2321,2321,2355,2355,2369,2369,2369,2388,2388,2392,2392,2392,2392,2392,2442,2442,2442,2442,2442,2442,2488,2488,2488,2502,2502,2532,2532,2532,2532,2532,2532,2532,2532
20051,County 20051,State,20,446,477,510,510,510,510,510,551,592,592,592,603,622,671,671,697,697,697,697,697,703,703,742,742,742,742,742,747,747,777,821,821,821,821,821,821,821,821,821,851,851,851,893,929,942,942,967,967,967,967,967,967,986,989,989,989,1011,1033,1071,1071,1071,1071,1072,1072,1107,1107,1107,1153,1153,1153,1179,1222,1222,1260,1271,1271,1271,1271,1271,1271,1318,1325,1344,1344,1344,1394,1396,1442,1442,1442,1442,1442,1475,1504,1553,1553,1580,1580,1580,1580,1580,1580,1580,1618,1658,1658,1659,1659,1659,1659,1659,1659,1659,1659,1672,1672,1674,1674,1674,1715,1721,1725,1725,1725,1725,1725,1725,1725,1734,1734,1767,1767,1775,1814,1814,1816,1816,1816,1816,1816,1816,1816,1816,1816,1856,1856,1856,1878,1878,1878,1878,1902,1902,1902,1922,1922,1922,1922,1951,1951,1997,1997,1997,1997,1997,1997,1997,2032,2032,2032,2032,2032,2032,2032,2032,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2047,2047,2047,2047,2053,2053,2053,2085,2085,2085,2085,2085,2085,2085,2085,2089,2089,2089,2089,2089,2089,2089,2089,2104,2104,2104,2104,2104,2131,2131,2131,2131,2181,2181,2225,2225,2225,2255,2255,2255,2255,2255,2255,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2299,2299,2299,2299,2309,2309,2340,2369,2378,2378,2378,2395,2395,2395,2395,2425,2425,2425,2425,2434,2434,2434,2434,2466,2466,2466,2466,2466,2498,2498,2498,2498,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2559,2559,2559,2559,2559,2559,2597,2597,2626,2664,2664,2664,2664,2664,2664
56045,County 56045,State,56,866,866,866,914,940,940,990,990,990,990,994,994,994,994,994,1003,1003,1033,1033,1033,1033,1070,1078,1078,1078,1100,1100,1150,1150,1150,1150,1161,1161,1161,1161,1167,1167,1203,1203,1203,1203,1251,1251,1251,1251,1251,1251,1263,1263,1280,1281,1281,1285,1285,1285,1322,1322,1322,1322,1322,1322,1356,1378,1378,1425,1425,1425,1448,1453,1453,1453,1453,1453,1462,1462,1462,1462,1462,1462,1462,1462,1462,1483,1483,1483,1483,1507,1553,1553,1553,1553,1562,1603,1647,1690,1690,1690,1690,1690,1717,1717,1718,1736,1745,1757,1779,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1849,1882,1882,1882,1882,1882,1882,1903,1930,1930,1942,1942,1942,1942,1942,1986,1986,1986,1986,2015,2015,2041,2041,2059,2060,2060,2060,2075,2075,2077,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115,2136,2136,2169,2169,2169,2169,2169,2169,2169,2199,2199,2199,2199,2199,2227,2227,2275,2275,2318,2332,2355,2355,2355,2355,2355,2355,2355,2389,2389,2389,2389,2389,2389,2424,2455,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2535,2535,2535,2535,2535,2535,2585,2585,2585,2585,2610,2625,2625,2668,2668,2668,2685,2735,2735,2735,2759,2759,2759,2759,2759,2759,2759,2759,2759,2777,2777,2805,2820,2820,2820,2830,2843,2879,2904,2904,2904,2904,2904,2904,2904,2912,2912,2912,2912,2957,2957,2957,2957,2979,3020,3020,3020,3020,3053,3053,3053,3053,3053,3053,3058,3101,3101,3101,3101,3101,3101,3135,3135,3135,3164,3164,3164,3179,3179,3192,3209,3252,3252,3268,3276,3276,3276,3276,3276,3276,3276,3276,3276,3291,3291,3291,3291,3338,3338,3338
17109,County 17109,State,17,100,100,100,100,100,100,100,111,111,150,150,150,150,169,169,169,169,169,169,169,205,205,205,205,205,205,205,205,255,255,255,255,261,271,271,271,271,281,281,281,303,303,303,326,326,326,326,354,354,359,359,359,359,359,359,359,359,359,377,406,406,406,420,430,430,430,430,454,454,454,487,487,487,520,568,618,618,618,661,661,661,670,670,698,710,710,710,745,745,745,745,745,745,745,776,776,776,776,776,821,821,821,821,821,821,821,862,907,907,907,920,920,920,920,926,926,926,926,926,969,969,969,971,971,971,971,971,971,971,1014,1014,1014,1014,1014,1014,1014,1047,1070,1070,1070,1070,1070,1079,1079,1079,1079,1120,1120,1120,1126,1126,1126,1126,1126,1167,1167,1167,1167,1199,1199,1227,1227,1276,1276,1277,1303,1321,1321,1321,1356,1356,1356,1356,1356,1367,1367,1383,1422,1423,1463,1463,1463,1463,1463,1463,1482,1517,1517,1563,1575,1575,1575,1575,1575,1575,1612,1612,1612,1612,1612,1655,1655,1655,1655,1655,1655,1655,1655,1675,1705,1705,1750,1750,1750,1750,1750,1750,1750,1750,1764,1764,1764,1799,1799,1799,1808,1858,1858,1858,1858,1858,1858,1888,1888,1917,1917,1917,1917,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1971,1971,1971,1971,1971,1975,1975,1975,2019,2019,2019,2042,2042,2061,2106,2106,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2148,2176,2176,2176,2176,2176,2179,2195,2202,2225,2225,2225,2241,2241,2249,2249,2249,2249,2285,2288,2337,2337,2337,2337,2359,2359,2359
45045,County 45045,State,45,324,324,324,324,324,324,324,324,324,324,368,368,368,368,375,417,466,466,466,472,472,522,522,522,526,532,545,545,587,625,625,625,667,667,667,673,673,673,673,673,673,673,673,673,673,673,697,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,747,747,765,765,765,765,791,791,791,791,791,805,805,826,826,826,826,826,826,839,864,864,864,911,952,965,965,1004,1004,1004,1004,1004,1004,1004,1033,1049,1065,1079,1079,1079,1124,1124,1124,1124,1124,1165,1165,1204,1204,1235,1235,1235,1249,1264,1297,1297,1313,1313,1313,1313,1313,1313,1313,1313,1313,1325,1363,1365,1365,1365,1365,1365,1365,1365,1365,1397,1397,1422,1465,1466,1466,1466,1466,1466,1505,1549,1549,1567,1567,1567,1567,1567,1567,1606,1606,1606,1606,1632,1638,1648,1648,1648,1650,1650,1650,1650,1664,1664,1691,1691,1691,1713,1713,1713,1713,1713,1713,1713,1757,1757,1757,1788,1799,1799,1838,1880,1896,1896,1896,1896,1918,1918,1918,1964,2003,2003,2027,2027,2027,2052,2099,2148,2178,2178,2178,2178,2189,2189,2189,2189,2226,2226,2226,2226,2263,2263,2263,2263,2263,2263,2301,2315,2326,2326,2326,2337,2337,2337,2337,2339,2339,2339,2339,2339,2339,2339,2339,2350,2350,2350,2390,2390,2390,2390,2414,2428,2428,2428,2449,2449,2449,2449,2449,2449,2449,2496,2496,2534,2534,2534,2557,2557,2589,2589,2589,2589,2589,2589,2589,2632,2632,2649,2649,2649,2649,2649,2654,2654,2654,2654,2654,2661,2661,2665,2672,2672,2672,2672,2672,2701,2701,2701,2718,2719,2719,2719,2719
21183,County 21183,State,21,718,734,734,734,734,734,734,734,734,734,747,747,747,747,747,747,747,747,767,767,767,767,767,767,791,791,800,809,851,867,867,873,873,873,873,899,924,924,932,976,976,976,1002,1002,1002,1037,1037,1037,1037,1048,1048,1048,1048,1048,1048,1048,1097,1097,1102,1102,1102,1102,1102,1102,1102,1102,1102,1120,1123,1172,1172,1222,1222,1236,1236,1236,1236,1249,1249,1249,1249,1287,1287,1328,1344,1344,1344,1344,1344,1344,1344,1394,1394,1394,1394,1394,1394,1422,1458,1479,1479,1479,1479,1507,1507,1507,1507,1507,1507,1513,1513,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1529,1529,1529,1530,1530,1530,1530,1530,1530,1530,1548,1573,1573,1573,1573,1573,1573,1609,1647,1647,1673,1673,1673,1673,1673,1673,1685,1685,1685,1685,1720,1720,1720,1720,1720,1766,1766,1766,1766,1766,1766,1766,1766,1766,1778,1778,1778,1787,1787,1787,1787,1787,1817,1817,1817,1817,1817,1821,1821,1821,1867,1868,1868,1877,1877,1877,1877,1927,1927,1960,1960,1960,1999,1999,1999,1999,2031,2031,2031,2081,2093,2119,2119,2119,2134,2134,2134,2164,2164,2210,2210,2249,2274,2274,2288,2288,2288,2288,2301,2318,2318,2318,2318,2348,2348,2348,2348,2348,2383,2383,2383,2413,2413,2413,2449,2449,2449,2449,2449,2470,2470,2470,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2510,2510,2540,2540,2540,2540,2540,2540,2563,2563,2591,2591,2591,2591,2591,2603,2603,2603,2603,2603,2603,2603,2603,2603,2629,2629,2641,2651,2694,2719,2719,2719,2734,2734,2734,2734,2734,2737,2737,2737,2762,2795,2795,2839,2839,2839,2839,2860,2860,2860,2895,2895
51830,County 51830,State,51,426,426,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,481,481,481,481,481,481,481,481,481,481,481,481,481,506,543,564,564,564,564,564,564,564,564,564,604,604,639,639,639,639,654,654,654,654,654,675,705,705,705,715,715,715,715,715,722,722,722,722,722,722,722,722,729,729,774,774,774,774,774,774,785,785,813,813,813,844,844,844,844,880,880,880,880,880,914,953,953,973,1002,1002,1002,1002,1011,1011,1011,1011,1023,1054,1078,1098,1110,1110,1110,1110,1110,1110,1120,1132,1132,1132,1132,1132,1132,1132,1132,1132,1161,1161,1163,1201,1201,1201,1224,1241,1241,1241,1261,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1294,1325,1325,1325,1325,1325,1325,1325,1325,1334,1334,1343,1343,1374,1374,1374,1374,1374,1399,1439,1439,1439,1439,1439,1439,1474,1474,1474,1474,1480,1480,1480,1480,1480,1501,1548,1560,1604,1604,1604,1604,1604,1604,1604,1608,1608,1609,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1669,1669,1669,1684,1684,1695,1695,1743,1743,1763,1767,1767,1767,1767,1767,1800,1800,1800,1800,1800,1826,1826,1826,1826,1828,1828,1842,1842,1842,1842,1842,1842,1842,1883,1883,1883,1883,1904,1923,1923,1923,1923,1923,1923,1923,1952,1952,1952,1952,1952,2002,2002,2002,2002,2042,2042,2057,2082,2082,2082,2092,2092,2092,2092,2092,2134,2180,2180,2180,2180,2180,2180,2192,2192,2192,2232,2232,2232,2232,2232,2232,2235,2235,2282,2306,2306,2306,2325,2325,2333,2333,2333,2336,2336,2374,2384,2384,2384,2384,2414,2459,2459
13215,County 13215,State,13,329,329,329,329,333,366,366,385,385,398,398,398,398,398,413,428,428,428,428,428,477,477,477,477,499,499,499,537,537,537,537,537,568,568,612,612,612,612,612,647,647,672,686,686,686,686,686,686,686,686,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,768,768,768,768,768,768,768,768,768,768,768,788,828,842,842,890,890,890,890,890,916,916,916,931,931,931,931,933,933,975,975,975,975,1003,1003,1018,1018,1065,1065,1070,1102,1137,1137,1137,1137,1137,1158,1158,1185,1185,1185,1185,1218,1218,1248,1248,1248,1298,1298,1306,1306,1306,1354,1354,1354,1354,1396,1396,1396,1396,1396,1396,1419,1419,1419,1419,1426,1426,1471,1495,1495,1495,1495,1543,1543,1543,1543,1543,1592,1592,1592,1592,1607,1607,1649,1649,1664,1714,1714,1714,1760,1760,1760,1760,1760,1771,1771,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1831,1831,1831,1831,1831,1831,1831,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1910,1910,1910,1944,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,2025,2025,2025,2025,2034,2034,2034,2034,2034,2034,2034,2034,2034,2034,2045,2045,2070,2070,2070,2070,2074,2074,2076,2076,2076,2076,2076,2076,2087,2087,2136,2156,2206,2206,2206,2246,2289,2289,2313,2354,2354,2354,2354,2367,2367,2367,2373,2373,2414,2438,2438,2467,2481,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2501,2501,2501,2501,2501,2501,2521,2521,2521,2521,2521,2521,2564,2564,2564,2564,2597,2597,2597,2597,2625,2669,2669
42015,County 42015,State,42,353,353,395,395,421,421,421,431,431,431,465,465,465,465,465,465,477,477,477,480,480,493,493,493,525,525,525,538,538,564,564,564,564,564,564,564,610,610,639,639,639,652,652,652,665,699,706,741,741,741,772,772,772,772,798,798,798,839,868,868,868,877,923,923,923,942,959,959,959,972,988,988,988,994,1042,1042,1042,1042,1074,1075,1075,1075,1075,1091,1091,1102,1102,1102,1102,1102,1102,1102,1102,1114,1114,1114,1135,1172,1172,1172,1220,1220,1220,1220,1220,1232,1275,1290,1333,1333,1333,1379,1379,1379,1379,1379,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1384,1384,1431,1431,1431,1467,1467,1467,1479,1479,1479,1484,1484,1505,1505,1505,1505,1526,1565,1565,1565,1565,1609,1609,1609,1609,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1663,1663,1709,1709,1709,1709,1709,1709,1709,1709,1709,1722,1722,1722,1722,1722,1722,1722,1749,1749,1749,1749,1749,1772,1791,1791,1791,1791,1791,1801,1814,1816,1816,1816,1816,1816,1816,1832,1832,1832,1853,1853,1892,1892,1892,1892,1892,1892,1892,1914,1922,1951,1951,1951,1951,1951,1991,2008,2008,2008,2008,2008,2030,2030,2030,2030,2030,2030,2041,2054,2054,2104,2109,2109,2153,2153,2153,2153,2153,2153,2164,2185,2185,2185,2227,2227,2227,2264,2311,2314,2314,2342,2353,2353,2371,2421,2458,2458,2472,2487,2487,2487,2487,2487,2487,2493,2496,2496,2508,2508,2553,2591,2591,2639,2675,2675,2675,2675,2675,2675,2675,2675,2720,2720,2744,2744,2744,2767,2767,2804,2825,2825,2834,2834,2874,2911,2911,2911,2948,2948,2948,2956
