tweet_id,created_at,text,county_fips,is_retweet,user_type
1,2020-09-27 04:07:54,"hospital is full, very sad.",47165,true,person
2,2020-10-26T19:30:04Z,vaccine is working well,13149,true,bot
3,2020-08-21 19:54:56,i hate lockdown,48251,false,bot
4,2020-06-08T20:52:55-0500,i hate lockdown,8069,false,bot
5,2020-12-05T15:10:50Z,wearing masks is important,13253,false,person
6,2020-05-21T08:15:59-0500,covid is getting worse here,2090,false,bot
7,2020-11-19 13:03:55,i hate lockdown,13317,false,bot
8,2020-11-22T00:55:56+0000,this pandemic will never end,19095,false,person
9,2020-03-16T11:56:56-0800,"cases are dropping, great news!",12007,false,person
10,2020-07-30 20:46:23,covid is getting worse here,37177,false,bot
11,2020-05-10 11:49:19,"cases are dropping, great news!",72041,false,bot
12,2020-11-19T17:40:24Z,covid is getting worse here,12127,true,person
13,2020-09-29T03:47:14Z,"hospital is full, very sad.",5141,true,organization
14,2020-04-26T17:23:03Z,i hate lockdown,13145,true,bot
15,2020-04-11T18:09:34-0800,finally recovered from covid,37191,false,person
16,2020-11-29T09:17:08-0800,covid is getting worse here,42035,true,bot
17,2020-07-24T09:52:02-0500,this pandemic will never end,22015,false,person
18,2020-06-02T00:45:02+0700,this pandemic will never end,55137,true,person
19,2020-08-04T05:47:40Z,vaccine is working well,8061,true,person
20,2020-10-02 19:24:43-0800,"cases are dropping, great news!",48323,false,person
21,2020-05-28T12:13:55-0800,vaccine is working well,51810,false,person
22,2020-09-29T07:31:53-0500,wearing masks is important,17031,false,organization
23,2020-04-15 01:37:38,this pandemic will never end,5009,false,person
24,2020-04-09 02:21:32-0500,this pandemic will never end,5003,false,organization
25,2020-10-26T15:21:12Z,covid is getting worse here,53061,false,person
26,2020-08-28 03:00:42-0800,"cases are dropping, great news!",51187,false,person
27,2020-11-16 06:50:49,this pandemic will never end,13161,false,organization
28,2020-04-16 11:32:18-0800,this pandemic will never end,36097,false,person
29,2020-03-30 15:15:03,this pandemic will never end,36097,false,organization
30,2020-07-16T03:09:26+0000,i hate lockdown,51037,true,person
31,2020-07-23T03:40:51+0700,covid is getting worse here,18059,false,bot
32,2020-08-13T22:03:05Z,vaccine is working well,13303,false,organization
33,2020-11-23T17:15:19Z,"cases are dropping, great news!",37053,false,bot
34,2020-12-21T10:26:14-0800,"cases are dropping, great news!",17161,false,bot
35,2020-09-23T18:12:32Z,wearing masks is important,13253,false,bot
36,2020-09-14T20:52:37Z,covid is getting worse here,28105,false,bot
37,2020-11-02 23:16:00+0700,"hospital is full, very sad.",38053,false,person
38,2020-10-21 04:27:38-0500,this pandemic will never end,51530,false,person
39,2020-11-08T17:25:05Z,wearing masks is important,51037,true,bot
40,2020-03-23 02:33:59,i hate lockdown,47027,false,bot
41,2020-03-26 06:55:44,"cases are dropping, great news!",19145,true,person
42,2020-07-14T05:21:44-0800,this pandemic will never end,56019,true,bot
43,2020-07-24T11:18:36+0700,wearing masks is important,48071,false,person
44,2020-09-16 17:38:32,vaccine is working well,21225,false,bot
45,2020-12-06 16:18:28,finally recovered from covid,46047,false,person
46,2020-10-17T07:41:16Z,"hospital is full, very sad.",42035,false,person
47,2020-03-27T00:30:19+0000,this pandemic will never end,13271,false,bot
48,2020-05-14 03:55:31,this pandemic will never end,13317,false,bot
49,2020-06-11 21:17:00-0500,this pandemic will never end,27003,false,bot
50,2020-12-26 16:38:59+0000,vaccine is working well,31105,true,organization
51,2020-04-07 14:58:42+0700,"cases are dropping, great news!",17143,false,person
52,2020-04-02 13:08:52-0500,this pandemic will never end,8033,false,person
53,2020-07-20 06:34:20-0800,vaccine is working well,38047,true,person
54,2020-11-12T03:53:02-0500,"cases are dropping, great news!",19119,false,bot
55,2020-04-10T11:17:42Z,wearing masks is important,13317,false,person
56,2020-09-19T06:28:56-0800,this pandemic will never end,22015,true,person
57,2020-08-14 15:02:08-0500,finally recovered from covid,18135,false,organization
58,2020-05-04 12:59:35,"cases are dropping, great news!",27085,true,bot
59,2020-10-09 07:08:32+0700,wearing masks is important,46047,false,organization
60,2020-11-11 08:15:25,finally recovered from covid,8055,true,organization
61,2020-09-13 00:30:29,finally recovered from covid,37127,false,organization
62,2020-03-12 03:03:17,this pandemic will never end,55137,true,organization
63,2020-10-21T02:23:00Z,"cases are dropping, great news!",53061,false,organization
64,2020-05-31 18:27:02-0500,i hate lockdown,28079,true,organization
65,2020-09-16T11:36:42+0000,finally recovered from covid,37081,false,bot
66,2020-11-18T04:24:11Z,vaccine is working well,17031,true,person
67,2020-08-26 07:50:52-0500,i hate lockdown,51770,true,organization
68,2020-05-16 04:12:33+0000,wearing masks is important,31083,false,person
69,2020-06-21 12:05:39,"hospital is full, very sad.",6091,false,bot
70,2020-11-21T08:50:21+0700,covid is getting worse here,36009,false,person
71,2020-08-22T12:42:41+0000,"cases are dropping, great news!",51037,false,organization
72,2020-06-06T02:35:41-0800,finally recovered from covid,13137,false,organization
73,2020-11-18 23:55:51,"hospital is full, very sad.",48251,false,person
74,2020-05-01 10:15:00-0800,i hate lockdown,47135,false,person
75,2020-08-24 11:58:30,finally recovered from covid,51530,false,organization
76,2020-11-11T08:30:13+0700,i hate lockdown,13147,false,person
77,2020-03-24T06:03:36-0800,vaccine is working well,2090,false,organization
78,2020-09-30 00:40:23,this pandemic will never end,4007,false,person
79,2020-04-25 20:21:15,vaccine is working well,42035,false,person
80,2020-10-10 09:07:19,i hate lockdown,27165,false,person
81,2020-06-21 11:52:12-0800,finally recovered from covid,13303,true,organization
82,2020-06-20T21:56:36Z,i hate lockdown,19119,false,organization
83,2020-11-29 14:31:10-0800,finally recovered from covid,31097,true,person
84,2020-05-07 10:57:00,covid is getting worse here,13145,false,organization
85,2020-05-13T08:06:59+0700,"hospital is full, very sad.",48071,false,bot
86,2020-08-19T07:57:16-0500,"cases are dropping, great news!",18135,true,person
87,2020-03-12 09:54:11+0000,covid is getting worse here,51037,false,organization
88,2020-09-06T01:40:41Z,this pandemic will never end,28161,true,person
89,2020-10-12 17:39:30,"hospital is full, very sad.",8061,false,organization
90,2020-06-30 23:52:34-0500,vaccine is working well,51770,false,bot
91,2020-03-19 09:21:13+0700,finally recovered from covid,31151,false,person
92,2020-06-20T18:21:03-0500,wearing masks is important,13253,false,person
93,2020-03-21 02:24:15+0000,"cases are dropping, great news!",47017,false,person
94,2020-08-21T05:56:14Z,vaccine is working well,17161,false,bot
95,2020-10-22 04:53:50-0800,"cases are dropping, great news!",20011,true,person
96,2020-10-05T15:21:51-0800,wearing masks is important,28079,false,bot
97,2020-03-01T18:30:13Z,"hospital is full, very sad.",51101,false,organization
98,2020-04-17T01:43:49Z,wearing masks is important,20121,false,organization
99,2020-05-26 20:23:40+0700,finally recovered from covid,48305,false,person
100,2020-05-28 08:21:17,finally recovered from covid,30003,false,bot
101,2020-09-18 17:02:16,finally recovered from covid,13147,false,person
102,2020-12-06 21:57:41,i hate lockdown,48071,true,organization
103,2020-08-08T12:59:55-0500,"hospital is full, very sad.",38053,false,organization
104,2020-10-04T22:28:54-0500,"hospital is full, very sad.",8069,false,person
105,2020-12-06 15:41:15,wearing masks is important,30003,false,bot
106,2020-12-15 13:23:35+0000,covid is getting worse here,47075,false,organization
107,2020-03-07 10:25:11-0500,"hospital is full, very sad.",17113,true,bot
108,2020-09-20T17:00:56+0000,this pandemic will never end,13149,false,person
109,2020-03-25T02:35:53+0700,covid is getting worse here,8055,false,organization
110,2020-12-18 14:27:47,wearing masks is important,29203,true,person
111,2020-05-20 17:19:13-0500,"hospital is full, very sad.",31151,true,bot
112,2020-05-29T22:53:01+0000,"cases are dropping, great news!",8069,false,bot
113,2020-12-13T02:10:15Z,finally recovered from covid,17113,false,organization
114,2020-06-14T10:35:09Z,covid is getting worse here,51113,false,person
115,2020-09-18 10:52:15,this pandemic will never end,29203,false,bot
116,2020-04-22 15:38:36,this pandemic will never end,47017,false,bot
117,2020-03-23T17:21:16+0000,covid is getting worse here,18135,false,person
118,2020-09-10 17:24:11-0500,wearing masks is important,37177,true,bot
119,2020-08-25T01:15:55-0800,"hospital is full, very sad.",37191,true,organization
120,2020-04-21T11:18:32Z,"hospital is full, very sad.",20011,false,organization
121,2020-03-07T18:16:49-0800,finally recovered from covid,56023,false,bot
122,2020-10-13 18:13:29,vaccine is working well,30003,false,bot
123,2020-06-09 15:33:30,i hate lockdown,51530,true,bot
124,2020-03-06T11:21:58Z,wearing masks is important,37173,false,person
125,2020-09-19T16:25:05Z,i hate lockdown,17143,false,person
