period,correlation
2020-01-27,0.030143841500952923
2020-02-03,0.0006366055149782039
2020-02-10,-0.02538103169454569
2020-02-17,0.03661431832076163
2020-02-24,-0.04694669864411222
2020-03-02,-0.039022644230076266
2020-03-09,-0.019200491773859955
2020-03-16,-0.04904084437171392
2020-03-23,-0.0069713857836255595
2020-03-30,-0.020708193620962732
2020-04-06,-0.03541796332610607
2020-04-13,-0.0501057027248165
2020-04-20,-0.060660978090300764
2020-04-27,-0.06908223762284653
2020-05-04,-0.0906188119860503
2020-05-11,-0.08531251207389959
2020-05-18,-0.08574063486127803
2020-05-25,-0.10411442237096652
2020-06-01,-0.07061247877037073
2020-06-08,-0.061825856749831064
2020-06-15,-0.03404631732241654
2020-06-22,-0.0853135821116932
2020-06-29,-0.0341994188272194
2020-07-06,-0.07321282000075828
2020-07-13,-0.031556138525779244
2020-07-20,-0.05992709952288484
2020-07-27,-0.07220559903117768
2020-08-03,-0.03539167982068523
2020-08-10,-0.07570398820850702
2020-08-17,-0.087151306884644
2020-08-24,-0.11086118238999455
2020-08-31,-0.10635164513928166
2020-09-07,-0.08704686161195228
2020-09-14,-0.06595046066246871
2020-09-21,-0.07689998764275283
2020-09-28,-0.05788966659970593
2020-10-05,-0.07012949570104586
2020-10-12,-0.0011370125752582232
2020-10-19,-0.015105225691447408
2020-10-26,-0.03097938941366165
2020-11-02,-0.03450146912816932
2020-11-09,-0.0220876313495653
2020-11-16,-0.011536292017932182
2020-11-23,-0.05153960893429067
2020-11-30,-0.021018958901092052
2020-12-07,-0.008998649200737757
2020-12-14,-0.051357760813703926
2020-12-21,-0.0277401121449604
2020-12-28,-0.042112520165137404
2021-01-04,-0.05599934557547374
2021-01-11,-0.0018615753463970036
2021-01-18,-0.051952297337812
2021-01-25,-0.07417808373389953
2021-02-01,-0.017274393052414308
2021-02-08,-0.09120919133193771
2021-02-15,-0.0331710608139235
2021-02-22,-0.07749232280016344
2021-03-01,-0.04855122345046684
2021-03-08,-0.05255652084819121
2021-03-15,-0.053149086798793564
2021-03-22,-0.06184620237767695
2021-03-29,-0.07211677595148075
