tweet_id,created_at,text,county_fips,is_retweet,user_type,date,sentiment_score
4,2020-12-20 01:30:15+00:00,"hospital is full, very sad.",13167,False,person,2020-12-20,-0.5256
5,2020-11-09 12:12:35+00:00,finally recovered from covid,37015,False,person,2020-11-09,0.0
6,2020-06-15 15:53:09+00:00,vaccine is working well,01121,False,person,2020-06-15,0.2732
8,2020-05-26 15:52:08+00:00,"hospital is full, very sad.",56019,False,person,2020-05-26,-0.5256
9,2020-04-13 16:57:47+00:00,i hate lockdown,05007,False,person,2020-04-13,-0.5719
14,2020-07-02 01:01:10+00:00,"cases are dropping, great news!",20049,False,person,2020-07-02,0.6588
16,2020-07-06 22:14:04+00:00,"hospital is full, very sad.",51183,False,person,2020-07-06,-0.5256
17,2020-04-21 06:48:09+00:00,wearing masks is important,02070,False,person,2020-04-21,0.2023
18,2020-08-31 03:15:58+00:00,i hate lockdown,17109,False,person,2020-08-31,-0.5719
19,2020-10-05 05:25:49+00:00,"cases are dropping, great news!",37175,False,person,2020-10-05,0.6588
21,2020-03-11 02:20:53+00:00,i hate lockdown,37015,False,person,2020-03-11,-0.5719
22,2020-04-29 06:07:55+00:00,covid is getting worse here,30105,False,person,2020-04-29,-0.4767
24,2020-07-30 13:02:03+00:00,"cases are dropping, great news!",21205,False,person,2020-07-30,0.6588
30,2020-04-06 23:00:17+00:00,wearing masks is important,17093,False,person,2020-04-06,0.2023
35,2020-08-05 03:33:03+00:00,"cases are dropping, great news!",36035,False,person,2020-08-05,0.6588
40,2020-05-03 21:40:11+00:00,finally recovered from covid,47065,False,person,2020-05-03,0.0
42,2020-05-31 11:58:17+00:00,i hate lockdown,30105,False,person,2020-05-31,-0.5719
47,2020-12-04 21:23:13+00:00,"cases are dropping, great news!",17101,False,person,2020-12-04,0.6588
50,2020-12-01 15:58:27+00:00,"hospital is full, very sad.",53045,False,person,2020-12-01,-0.5256
51,2020-06-01 10:27:49+00:00,finally recovered from covid,19151,False,person,2020-06-01,0.0
53,2020-10-11 18:43:03+00:00,covid is getting worse here,46091,False,person,2020-10-11,-0.4767
